scan_mode,scan_label,calibrated_bond_indices,calibrated_bonds,scan_group,jprime,calibrated_hamiltonian_energy,target_energy,target_energy_error,target_fidelity,reference_energy,pauli_scale
bond,bond_6_0-1,6,0-1,,1.0,-29.146168109350075,-29.14616810935009,4.618527782440651e-14,1.0,-29.146168109350135,1.0
bond,bond_6_0-1,6,0-1,,1.02,-29.17267326111076,-29.141012093104216,0.005156016245919659,0.9670110248385255,-29.146168109350135,1.0
bond,bond_6_0-1,6,0-1,,1.04,-29.208936451951043,-29.128133886528992,0.018034222821142976,0.8855113985107543,-29.146168109350135,1.0
bond,bond_6_0-1,6,0-1,,1.06,-29.25248598094861,-29.11375462657621,0.03241348277392575,0.7974342906870111,-29.146168109350135,1.0
bond,bond_6_0-1,6,0-1,,1.08,-29.300683278193194,-29.101228576736915,0.04493953261322048,0.7245518160355054,-29.146168109350135,1.0
bond,bond_6_0-1,6,0-1,,1.1,-29.35177415274747,-29.09100755843209,0.05516055091804617,0.6687851370489146,-29.146168109350135,1.0
bond,bond_6_0-1,6,0-1,,1.15,-29.486459828928364,-29.072707495792397,0.0734606135577387,0.580165375225348,-29.146168109350135,1.0
bond,bond_6_0-1,6,0-1,,1.2,-29.626349780336273,-29.06038565684007,0.08578245251006678,0.5302562010336522,-29.146168109350135,1.0
bond,bond_7_2-4,7,2-4,,1.0,-29.146168109350107,-29.146168109350086,4.973799150320701e-14,0.9999999999999998,-29.146168109350135,1.0
bond,bond_7_2-4,7,2-4,,1.02,-29.146228939415348,-29.145639672133697,0.0005284372164382489,0.9995858250249819,-29.146168109350135,1.0
bond,bond_7_2-4,7,2-4,,1.04,-29.147384584762914,-29.143899184832183,0.0022689245179527973,0.9981635435322848,-29.146168109350135,1.0
bond,bond_7_2-4,7,2-4,,1.06,-29.14975955569864,-29.140663721824012,0.005504387526123367,0.9953919252592566,-29.146168109350135,1.0
bond,bond_7_2-4,7,2-4,,1.08,-29.153502586478712,-29.135567758933266,0.01060035041686902,0.9908103897304124,-29.146168109350135,1.0
bond,bond_7_2-4,7,2-4,,1.1,-29.15879176047956,-29.128141673543876,0.0180264358062594,0.9838065105790132,-29.146168109350135,1.0
bond,bond_7_2-4,7,2-4,,1.15,-29.180271559299516,-29.095163732874866,0.05100437647526945,0.9500205119194571,-29.146168109350135,1.0
bond,bond_7_2-4,7,2-4,,1.2,-29.21722172179019,-29.031477858091513,0.11469025125862231,0.8791822011480102,-29.146168109350135,1.0
bond,bond_8_6-8,8,6-8,,1.0,-29.146168109350086,-29.146168109350057,7.815970093361102e-14,1.0000000000000004,-29.146168109350135,1.0
bond,bond_8_6-8,8,6-8,,1.02,-29.14638921182669,-29.145658573806706,0.0005095355434292514,0.9996260462841614,-29.146168109350135,1.0
bond,bond_8_6-8,8,6-8,,1.04,-29.147666367725904,-29.143978431614403,0.0021896777357319763,0.9983384707137505,-29.146168109350135,1.0
bond,bond_8_6-8,8,6-8,,1.06,-29.150121921399247,-29.140846408351837,0.005321700998297985,0.9958182133415069,-29.146168109350135,1.0
bond,bond_8_6-8,8,6-8,,1.08,-29.153904807199282,-29.135887696077884,0.01028041327225182,0.9916220062812001,-29.146168109350135,1.0
bond,bond_8_6-8,8,6-8,,1.1,-29.15919801297856,-29.128599700638496,0.01756840871163945,0.9851335577395984,-29.146168109350135,1.0
bond,bond_8_6-8,8,6-8,,1.15,-29.18065821003548,-29.095237623125755,0.0509304862243809,0.952533472437657,-29.146168109350135,1.0
bond,bond_8_6-8,8,6-8,,1.2,-29.21828495256387,-29.026145027230992,0.12002308211914325,0.8774753197093107,-29.146168109350135,1.0
bond,bond_9_10-11,9,10-11,,1.0,-29.146168109350054,-29.14616810935008,5.684341886080802e-14,1.0,-29.146168109350135,1.0
bond,bond_9_10-11,9,10-11,,1.02,-29.16611137273,-29.14188684926689,0.004281260083246252,0.9743528264411006,-29.146168109350135,1.0
bond,bond_9_10-11,9,10-11,,1.04,-29.194619895676485,-29.129406322778706,0.016761786571429127,0.9009895744007446,-29.146168109350135,1.0
bond,bond_9_10-11,9,10-11,,1.06,-29.230720042702263,-29.113006442989306,0.0331616663608294,0.8091120995618033,-29.146168109350135,1.0
bond,bond_9_10-11,9,10-11,,1.08,-29.272420091573935,-29.096954834452184,0.049213274897951464,0.7256895661831234,-29.146168109350135,1.0
bond,bond_9_10-11,9,10-11,,1.1,-29.317964563207564,-29.082828334302047,0.06333977504808885,0.6589085031520602,-29.146168109350135,1.0
bond,bond_9_10-11,9,10-11,,1.15,-29.441856855930308,-29.05546969216152,0.09069841718861582,0.5504683453693646,-29.146168109350135,1.0
bond,bond_9_10-11,9,10-11,,1.2,-29.573802728195478,-29.035588673085922,0.11057943626421363,0.4894080532433308,-29.146168109350135,1.0
bond,bond_10_12-14,10,12-14,,1.0,-29.14616810935008,-29.14616810935005,8.526512829121202e-14,0.9999999999999996,-29.146168109350135,1.0
bond,bond_10_12-14,10,12-14,,1.02,-29.146228939415376,-29.145639672118072,0.0005284372320630837,0.9995858250023854,-29.146168109350135,1.0
bond,bond_10_12-14,10,12-14,,1.04,-29.147384584762914,-29.143899185026843,0.0022689243232925094,0.9981635437556281,-29.146168109350135,1.0
bond,bond_10_12-14,10,12-14,,1.06,-29.149759555698626,-29.140663721846277,0.00550438750385851,0.9953919252654548,-29.146168109350135,1.0
bond,bond_10_12-14,10,12-14,,1.08,-29.153502586478705,-29.135567758800665,0.010600350549470505,0.9908103895987708,-29.146168109350135,1.0
bond,bond_10_12-14,10,12-14,,1.1,-29.15879176047958,-29.12814167352238,0.01802643582775687,0.9838065105538778,-29.146168109350135,1.0
bond,bond_10_12-14,10,12-14,,1.15,-29.180271559299538,-29.09516373273176,0.05100437661837631,0.9500205117749444,-29.146168109350135,1.0
bond,bond_10_12-14,10,12-14,,1.2,-29.217221721790096,-29.03147785769854,0.11469025165159508,0.8791822008311961,-29.146168109350135,1.0
bond,bond_11_16-17,11,16-17,,1.0,-29.146168109350064,-29.14616810935004,9.592326932761353e-14,1.0000000000000004,-29.146168109350135,1.0
bond,bond_11_16-17,11,16-17,,1.02,-29.14638921182662,-29.145658573825827,0.0005095355243085464,0.9996260463191518,-29.146168109350135,1.0
bond,bond_11_16-17,11,16-17,,1.04,-29.147666367725833,-29.143978431614606,0.0021896777355294716,0.9983384707374434,-29.146168109350135,1.0
bond,bond_11_16-17,11,16-17,,1.06,-29.15012192139929,-29.14084640834011,0.0053217010100254925,0.9958182133715773,-29.146168109350135,1.0
bond,bond_11_16-17,11,16-17,,1.08,-29.153904807199304,-29.135887696153155,0.010280413196980476,0.9916220064436099,-29.146168109350135,1.0
bond,bond_11_16-17,11,16-17,,1.1,-29.159198012978557,-29.12859970068883,0.017568408661304602,0.9851335578170185,-29.146168109350135,1.0
bond,bond_11_16-17,11,16-17,,1.15,-29.180658210035467,-29.09523762299697,0.05093048635316677,0.9525334724740702,-29.146168109350135,1.0
bond,bond_11_16-17,11,16-17,,1.2,-29.218284952563923,-29.026145027249687,0.12002308210044887,0.8774753199447479,-29.146168109350135,1.0
bond,bond_12_2-3,12,2-3,,1.0,-29.146168109350132,-29.146168109350043,9.237055564881302e-14,1.0000000000000004,-29.146168109350135,1.0
bond,bond_12_2-3,12,2-3,,1.02,-29.172673261110617,-29.14101209315001,0.00515601620012518,0.9670110249002283,-29.146168109350135,1.0
bond,bond_12_2-3,12,2-3,,1.04,-29.208936451951082,-29.12813388652129,0.01803422282884526,0.885511398477343,-29.146168109350135,1.0
bond,bond_12_2-3,12,2-3,,1.06,-29.25248598094857,-29.113754626544036,0.032413482806099125,0.7974342906166596,-29.146168109350135,1.0
bond,bond_12_2-3,12,2-3,,1.08,-29.300683278193194,-29.10122857670164,0.04493953264849537,0.7245518160083161,-29.146168109350135,1.0
bond,bond_12_2-3,12,2-3,,1.1,-29.351774152747513,-29.091007558545506,0.05516055080462934,0.6687851372055521,-29.146168109350135,1.0
bond,bond_12_2-3,12,2-3,,1.15,-29.486459828928375,-29.072707495655663,0.07346061369447199,0.5801653748704647,-29.146168109350135,1.0
bond,bond_12_2-3,12,2-3,,1.2,-29.626349780336277,-29.06038565700884,0.08578245234129511,0.5302562013820538,-29.146168109350135,1.0
bond,bond_13_4-5,13,4-5,,1.0,-29.146168109349976,-29.146168109350082,5.3290705182007514e-14,1.0000000000000018,-29.146168109350135,1.0
bond,bond_13_4-5,13,4-5,,1.02,-29.178418589849507,-29.140862836351708,0.005305272998427313,0.9644422501700576,-29.146168109350135,1.0
bond,bond_13_4-5,13,4-5,,1.04,-29.220251448974988,-29.129232459194302,0.016935650155833315,0.8867670123011067,-29.146168109350135,1.0
bond,bond_13_4-5,13,4-5,,1.06,-29.268366050598438,-29.11750502270037,0.02866308664976458,0.8097564078508809,-29.146168109350135,1.0
bond,bond_13_4-5,13,4-5,,1.08,-29.320167570577787,-29.107867862956954,0.03830024639318097,0.7482408523201868,-29.146168109350135,1.0
bond,bond_13_4-5,13,4-5,,1.1,-29.374158395931083,-29.100278004866894,0.0458901044832416,0.7015353039592576,-29.146168109350135,1.0
bond,bond_13_4-5,13,4-5,,1.15,-29.514194876504178,-29.087232565774386,0.058935543575749705,0.626759568995803,-29.146168109350135,1.0
bond,bond_13_4-5,13,4-5,,1.2,-29.657865283144567,-29.078861255165087,0.06730685418504834,0.5839196409198262,-29.146168109350135,1.0
bond,bond_14_6-7,14,6-7,,1.0,-29.146168109350086,-29.14616810935009,4.618527782440651e-14,1.0,-29.146168109350135,1.0
bond,bond_14_6-7,14,6-7,,1.02,-29.183572676061083,-29.141343498237315,0.004824611112820065,0.9671901016444913,-29.146168109350135,1.0
bond,bond_14_6-7,14,6-7,,1.04,-29.229415869664425,-29.13166782719907,0.014500282151065136,0.9010633395089629,-29.146168109350135,1.0
bond,bond_14_6-7,14,6-7,,1.06,-29.280371504574564,-29.122340228397324,0.023827880952811853,0.8374967735932382,-29.146168109350135,1.0
bond,bond_14_6-7,14,6-7,,1.08,-29.3342367452426,-29.114791453194517,0.031376656155618576,0.7865469003923239,-29.146168109350135,1.0
bond,bond_14_6-7,14,6-7,,1.1,-29.389811080371807,-29.108889780939407,0.037278328410728534,0.7472990439344749,-29.146168109350135,1.0
bond,bond_14_6-7,14,6-7,,1.15,-29.53265599768453,-29.098886119716475,0.04728198963366026,0.6829030663459427,-29.146168109350135,1.0
bond,bond_14_6-7,14,6-7,,1.2,-29.678257871120273,-29.092640524739338,0.053527584610797874,0.644970939846001,-29.146168109350135,1.0
bond,bond_15_8-9,15,8-9,,1.0,-29.146168109350118,-29.14616810935007,6.394884621840902e-14,0.9999999999999993,-29.146168109350135,1.0
bond,bond_15_8-9,15,8-9,,1.02,-29.188223073044824,-29.142229529441963,0.003938579908172812,0.9736067655245004,-29.146168109350135,1.0
bond,bond_15_8-9,15,8-9,,1.04,-29.2370545066047,-29.134663891286454,0.011504218063681293,0.9222847451654183,-29.146168109350135,1.0
bond,bond_15_8-9,15,8-9,,1.06,-29.28987346731641,-29.127370994030706,0.018797115319429736,0.8724641311532876,-29.146168109350135,1.0
bond,bond_15_8-9,15,8-9,,1.08,-29.344982098260374,-29.121373713262845,0.02479439608729095,0.8313963347120378,-29.146168109350135,1.0
bond,bond_15_8-9,15,8-9,,1.1,-29.401457914545425,-29.11661500403694,0.02955310531319455,0.7988417127168203,-29.146168109350135,1.0
bond,bond_15_8-9,15,8-9,,1.15,-29.54582141537111,-29.108455541471233,0.03771256787890209,0.7434283439549316,-29.146168109350135,1.0
bond,bond_15_8-9,15,8-9,,1.2,-29.692434894385467,-29.103374029680634,0.04279407966950188,0.7095591377719764,-29.146168109350135,1.0
bond,bond_16_10-12,16,10-12,,1.0,-29.146168109350086,-29.146168109350057,7.815970093361102e-14,0.9999999999999996,-29.146168109350135,1.0
bond,bond_16_10-12,16,10-12,,1.02,-29.177775994384987,-29.14074774344087,0.0054203659092664225,0.9636846588060921,-29.146168109350135,1.0
bond,bond_16_10-12,16,10-12,,1.04,-29.219184160829993,-29.128839568736833,0.01732854061330258,0.8844486775552165,-29.146168109350135,1.0
bond,bond_16_10-12,16,10-12,,1.06,-29.267019524752378,-29.116857052842708,0.029311056507427935,0.806326817963751,-29.146168109350135,1.0
bond,bond_16_10-12,16,10-12,,1.08,-29.318618431983985,-29.10702939602463,0.03913871332550656,0.7442779557604089,-29.146168109350135,1.0
bond,bond_16_10-12,16,10-12,,1.1,-29.372449380523054,-29.09929131690113,0.04687679244900522,0.6973663180814171,-29.146168109350135,1.0
bond,bond_16_10-12,16,10-12,,1.15,-29.512190394891768,-29.085957112525605,0.06021099682453013,0.6225565358653101,-29.146168109350135,1.0
bond,bond_16_10-12,16,10-12,,1.2,-29.655654280296666,-29.077351024408934,0.06881708494120176,0.5798065401527696,-29.146168109350135,1.0
bond,bond_17_13-14,17,13-14,,1.0,-29.146168109350146,-29.146168109350075,6.039613253960852e-14,0.9999999999999998,-29.146168109350135,1.0
bond,bond_17_13-14,17,13-14,,1.02,-29.188223073044703,-29.142229529446126,0.003938579904009032,0.9736067655249758,-29.146168109350135,1.0
bond,bond_17_13-14,17,13-14,,1.04,-29.23705450660475,-29.134663891257752,0.011504218092383667,0.9222847451398057,-29.146168109350135,1.0
bond,bond_17_13-14,17,13-14,,1.06,-29.289873467316365,-29.12737099403687,0.018797115313265778,0.872464131191808,-29.146168109350135,1.0
bond,bond_17_13-14,17,13-14,,1.08,-29.344982098260346,-29.121373713259878,0.024794396090257464,0.8313963346988693,-29.146168109350135,1.0
bond,bond_17_13-14,17,13-14,,1.1,-29.40145791454535,-29.11661500399044,0.02955310535969602,0.7988417125851761,-29.146168109350135,1.0
bond,bond_17_13-14,17,13-14,,1.15,-29.545821415370963,-29.108455541456312,0.03771256789382349,0.7434283439003255,-29.146168109350135,1.0
bond,bond_17_13-14,17,13-14,,1.2,-29.692434894385528,-29.103374029326105,0.042794080024030734,0.7095591356896074,-29.146168109350135,1.0
bond,bond_18_15-16,18,15-16,,1.0,-29.146168109350082,-29.14616810935007,6.394884621840902e-14,1.0,-29.146168109350135,1.0
bond,bond_18_15-16,18,15-16,,1.02,-29.18357267606112,-29.141343498236765,0.004824611113370736,0.9671901016444377,-29.146168109350135,1.0
bond,bond_18_15-16,18,15-16,,1.04,-29.22941586966448,-29.131667827206766,0.014500282143369958,0.901063339520975,-29.146168109350135,1.0
bond,bond_18_15-16,18,15-16,,1.06,-29.280371504574433,-29.122340228365083,0.02382788098505273,0.8374967734934554,-29.146168109350135,1.0
bond,bond_18_15-16,18,15-16,,1.08,-29.334236745242627,-29.11479145319254,0.031376656157593885,0.7865469004251239,-29.146168109350135,1.0
bond,bond_18_15-16,18,15-16,,1.1,-29.3898110803718,-29.108889780942043,0.03727832840809242,0.7472990439313179,-29.146168109350135,1.0
bond,bond_18_15-16,18,15-16,,1.15,-29.532655997684483,-29.09888611956887,0.047281989781264855,0.6829030657295821,-29.146168109350135,1.0
bond,bond_18_15-16,18,15-16,,1.2,-29.67825787112032,-29.092640524595524,0.05352758475461172,0.6449709388067018,-29.146168109350135,1.0
bond,bond_19_1-11,19,1-11,,1.0,-29.146168109349997,-29.146168109350064,7.105427357601002e-14,1.0,-29.146168109350135,1.0
bond,bond_19_1-11,19,1-11,,1.02,-29.16611137272999,-29.14188684927473,0.004281260075405413,0.9743528264560961,-29.146168109350135,1.0
bond,bond_19_1-11,19,1-11,,1.04,-29.194619895676347,-29.129406322726616,0.016761786623519015,0.9009895743285247,-29.146168109350135,1.0
bond,bond_19_1-11,19,1-11,,1.06,-29.230720042702313,-29.11300644302921,0.03316166632092532,0.8091120996143528,-29.146168109350135,1.0
bond,bond_19_1-11,19,1-11,,1.08,-29.272420091573935,-29.09695483447261,0.049213274877526914,0.7256895662145374,-29.146168109350135,1.0
bond,bond_19_1-11,19,1-11,,1.1,-29.317964563207543,-29.082828334118144,0.06333977523199152,0.6589085029893302,-29.146168109350135,1.0
bond,bond_19_1-11,19,1-11,,1.15,-29.441856855930233,-29.055469692285403,0.0906984170647327,0.5504683452183773,-29.146168109350135,1.0
bond,bond_19_1-11,19,1-11,,1.2,-29.573802728195428,-29.03558867271673,0.11057943663340453,0.48940805303949003,-29.146168109350135,1.0
bond,bond_20_0-17,20,0-17,,1.0,-29.146168109350086,-29.14616810935007,6.394884621840902e-14,1.0,-29.146168109350135,1.0
bond,bond_20_0-17,20,0-17,,1.02,-29.188223073044792,-29.142229529445217,0.003938579904918527,0.9736067655253314,-29.146168109350135,1.0
bond,bond_20_0-17,20,0-17,,1.04,-29.23705450660474,-29.13466389127602,0.011504218074115613,0.9222847451541262,-29.146168109350135,1.0
bond,bond_20_0-17,20,0-17,,1.06,-29.289873467316408,-29.12737099405575,0.018797115294386657,0.8724641312335009,-29.146168109350135,1.0
bond,bond_20_0-17,20,0-17,,1.08,-29.344982098260367,-29.12137371322042,0.024794396129713903,0.831396334603214,-29.146168109350135,1.0
bond,bond_20_0-17,20,0-17,,1.1,-29.40145791454536,-29.116615004019156,0.029553105330979434,0.798841712631388,-29.146168109350135,1.0
bond,bond_20_0-17,20,0-17,,1.15,-29.545821415371062,-29.10845554145997,0.037712567890164195,0.7434283440983567,-29.146168109350135,1.0
bond,bond_20_0-17,20,0-17,,1.2,-29.692434894385435,-29.103374029404183,0.042794079945952745,0.7095591363854561,-29.146168109350135,1.0
bond,bond_21_3-4,21,3-4,,1.0,-29.14616810935012,-29.14616810935005,8.526512829121202e-14,0.9999999999999993,-29.146168109350135,1.0
bond,bond_21_3-4,21,3-4,,1.02,-29.188223073044778,-29.142229529453104,0.003938579897031502,0.9736067655339151,-29.146168109350135,1.0
bond,bond_21_3-4,21,3-4,,1.04,-29.23705450660465,-29.134663891263973,0.011504218086162865,0.9222847451452654,-29.146168109350135,1.0
bond,bond_21_3-4,21,3-4,,1.06,-29.289873467316454,-29.127370994019373,0.018797115330762892,0.8724641311766808,-29.146168109350135,1.0
bond,bond_21_3-4,21,3-4,,1.08,-29.344982098260335,-29.1213737132162,0.024794396133934526,0.8313963346188226,-29.146168109350135,1.0
bond,bond_21_3-4,21,3-4,,1.1,-29.401457914545336,-29.116615004007066,0.02955310534306932,0.7988417126597089,-29.146168109350135,1.0
bond,bond_21_3-4,21,3-4,,1.15,-29.54582141537112,-29.10845554147463,0.0377125678755057,0.7434283439905864,-29.146168109350135,1.0
bond,bond_21_3-4,21,3-4,,1.2,-29.692434894385478,-29.103374029525458,0.04279407982467731,0.7095591366213654,-29.146168109350135,1.0
bond,bond_22_5-6,22,5-6,,1.0,-29.14616810935012,-29.14616810935006,7.460698725481052e-14,1.0000000000000009,-29.146168109350135,1.0
bond,bond_22_5-6,22,5-6,,1.02,-29.183572676061097,-29.141343498244563,0.004824611105572529,0.9671901016458976,-29.146168109350135,1.0
bond,bond_22_5-6,22,5-6,,1.04,-29.22941586966446,-29.13166782717145,0.014500282178683932,0.90106333946612,-29.146168109350135,1.0
bond,bond_22_5-6,22,5-6,,1.06,-29.280371504574514,-29.12234022841836,0.023827880931776235,0.8374967736100261,-29.146168109350135,1.0
bond,bond_22_5-6,22,5-6,,1.08,-29.334236745242535,-29.114791453168852,0.03137665618128338,0.7865469003179881,-29.146168109350135,1.0
bond,bond_22_5-6,22,5-6,,1.1,-29.389811080371885,-29.10888978095295,0.03727832839718559,0.7472990439459227,-29.146168109350135,1.0
bond,bond_22_5-6,22,5-6,,1.15,-29.532655997684593,-29.0988861195981,0.04728198975203668,0.6829030659044464,-29.146168109350135,1.0
bond,bond_22_5-6,22,5-6,,1.2,-29.678257871120266,-29.09264052467017,0.053527584679965656,0.6449709392275087,-29.146168109350135,1.0
bond,bond_23_7-8,23,7-8,,1.0,-29.146168109350125,-29.14616810935007,6.394884621840902e-14,1.0000000000000027,-29.146168109350135,1.0
bond,bond_23_7-8,23,7-8,,1.02,-29.178418589849542,-29.140862836354913,0.005305272995222765,0.964442250193688,-29.146168109350135,1.0
bond,bond_23_7-8,23,7-8,,1.04,-29.22025144897487,-29.1292324591818,0.016935650168335314,0.8867670122740963,-29.146168109350135,1.0
bond,bond_23_7-8,23,7-8,,1.06,-29.268366050598395,-29.11750502257298,0.028663086777154234,0.809756407602385,-29.146168109350135,1.0
bond,bond_23_7-8,23,7-8,,1.08,-29.32016757057779,-29.1078678630264,0.038300246323736076,0.7482408525096675,-29.146168109350135,1.0
bond,bond_23_7-8,23,7-8,,1.1,-29.374158395931037,-29.100278004702307,0.04589010464782817,0.7015353035169872,-29.146168109350135,1.0
bond,bond_23_7-8,23,7-8,,1.15,-29.51419487650415,-29.087232565699363,0.05893554365077236,0.6267595686425972,-29.146168109350135,1.0
bond,bond_23_7-8,23,7-8,,1.2,-29.657865283144492,-29.07886125524694,0.06730685410319381,0.583919641241163,-29.146168109350135,1.0
