site,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18
0,3.0,-1.1164024553216783,0.07357742709916865,0.08547912547556635,-0.051081474145129625,0.05551190716597252,-0.0349034361895735,0.04876202496984895,-0.037705026959853144,0.06644948755206281,-0.07996961675583558,0.1356657209282056,0.10270771726535881,0.031104967092095363,-0.0318734081889694,0.08931253629474485,-0.08080150536727823,-1.8907504148254282,0.2678554512997916
1,-1.1164024553216783,3.0,-1.2948138090783257,0.04929263309044822,0.019844649818768052,-0.013115259453289606,0.024010913903237334,-0.03630746196922788,0.0435962937577637,-0.06685473171530247,0.2709361421848451,-0.7584987189289172,-0.232832457456511,0.0841033219124109,-0.04556312493609591,0.007580218117852692,0.011975653154262422,0.10180784018916116,-0.08494400417184064
2,0.07357742709916865,-1.2948138090783257,3.0,-1.0734301073756114,0.05810608154401725,-0.07634347901713473,0.01612974513763097,0.007440638102809128,-0.04462698498300362,0.0793523452225367,-0.1985343416763254,-0.7977906822573263,0.275684421069757,-0.07185616516576912,0.046380871299703544,-0.036339912143698264,0.025886083265822077,-0.00404267084291867,-0.011684978784209724
3,0.08547912547556635,0.04929263309044822,-1.0734301073756114,3.0,-1.8965277239737852,0.2707942280365613,-0.08944458857650532,0.0926453079737243,-0.03169206890617742,0.03186994809351968,0.08951949770392276,0.12534306995681,-0.07148197545265877,0.06570514075871897,-0.03769998813407813,0.04791750380724228,-0.03477307985313445,-0.051041284087878634,0.0575689216368086
4,-0.051081474145129625,0.019844649818768052,0.05810608154401725,-1.8965277239737852,3.0,-1.3656363222930237,0.07455281475027639,-0.08577713999079462,0.02967863801612939,-0.02936423314486725,-0.04999790805363475,-0.07107975515868473,0.046902746989238554,-0.037530917657674835,0.020594562613059884,-0.02557545041527761,0.018075202504330833,0.02700401433599147,-0.030040647921549764
5,0.05551190716597252,-0.013115259453289606,-0.07634347901713473,0.2707942280365613,-1.3656363222930237,3.0,-1.6272082147414517,0.2573672648025697,-0.07951736123571085,0.08858428880569064,0.00713810227313974,0.08541436813117227,-0.03597628809019659,0.047663851015231004,-0.025680685049238736,0.030512903803666523,-0.02076356957873457,-0.02991036739161047,0.033579867533194294
6,-0.0349034361895735,0.024010913903237334,0.01612974513763097,-0.08944458857650532,0.07455281475027639,-1.6272082147414517,3.0,-1.6225438547380082,0.06394464347808837,-0.08152432958797778,0.01278605070002935,-0.07382874750143767,0.026172513092640473,-0.03547772163414753,0.018602449451047276,-0.021080752790782087,0.013792288666324719,0.018852314164307216,-0.021536309877854924
7,0.04876202496984895,-0.03630746196922788,0.007440638102809128,0.0926453079737243,-0.08577713999079462,0.2573672648025697,-1.6225438547380082,3.0,-1.3614171876331371,0.27151872516344544,-0.08187434319640119,0.08454434975608127,-0.012230482118526162,0.058769605046874174,-0.030920495597880644,0.0336409296892633,-0.021169068512658408,-0.026676105001522524,0.0316151996698782
8,-0.037705026959853144,0.0435962937577637,-0.04462698498300362,-0.03169206890617742,0.02967863801612939,-0.07951736123571085,0.06394464347808837,-1.3614171876331371,3.0,-1.9015035457955798,0.06419404091934319,-0.06816313942091685,0.019504836844426075,-0.05665390059815376,0.0292987465352944,-0.030033040150028355,0.01815657362851615,0.02099064128634534,-0.025868638881393555
9,0.06644948755206281,-0.06685473171530247,0.0793523452225367,0.03186994809351968,-0.02936423314486725,0.08858428880569064,-0.08152432958797778,0.27151872516344544,-1.9015035457955798,3.0,-1.0726507047601261,0.1400360319064329,0.025389245004855857,0.10368197760165627,-0.058499281177483035,0.05836541723071496,-0.03514976116288679,-0.03816305305977584,0.04822477394023324
10,-0.07996961675583558,0.2709361421848451,-0.1985343416763254,0.08951949770392276,-0.04999790805363475,0.00713810227313974,0.01278605070002935,-0.08187434319640119,0.06419404091934319,-1.0726507047601261,3.0,-0.8161221351713739,-1.251360455361286,0.018432511114521554,0.02522442025663005,-0.017247276669991023,0.028009212336213878,0.051795737747387174,-0.03988701307766883
11,0.1356657209282056,-0.7584987189289172,-0.7977906822573263,0.12534306995681,-0.07107975515868473,0.08541436813117227,-0.07382874750143767,0.08454434975608127,-0.06816313942091685,0.1400360319064329,-0.8161221351713739,3.0,-0.8004832881199202,0.1525780861197909,-0.08083501587940742,0.0886587097312479,-0.07641485884704216,-0.09667279083236618,0.09431975522413967
12,0.10270771726535881,-0.232832457456511,0.275684421069757,-0.07148197545265877,0.046902746989238554,-0.03597628809019659,0.026172513092640473,-0.012230482118526162,0.019504836844426075,0.025389245004855857,-1.251360455361286,-0.8004832881199202,3.0,-1.079661001601768,0.059464340981953766,-0.0680423730284534,0.010296762194807626,-0.052419057815618196,0.01229600359395878
13,0.031104967092095363,0.0841033219124109,-0.07185616516576912,0.06570514075871897,-0.037530917657674835,0.047663851015231004,-0.03547772163414753,0.058769605046874174,-0.05665390059815376,0.10368197760165627,0.018432511114521554,0.1525780861197909,-1.079661001601768,3.0,-1.8914986401258778,0.26154845350472045,-0.08187701254580862,-0.03090779149428567,0.0918468928061498
14,-0.0318734081889694,-0.04556312493609591,0.046380871299703544,-0.03769998813407813,0.020594562613059884,-0.025680685049238736,0.018602449451047276,-0.030920495597880644,0.0292987465352944,-0.058499281177483035,0.02522442025663005,-0.08083501587940742,0.059464340981953766,-1.8914986401258778,3.0,-1.3625457146637938,0.07483777273508026,0.03179466729542005,-0.09226797986604904
15,0.08931253629474485,0.007580218117852692,-0.036339912143698264,0.04791750380724228,-0.02557545041527761,0.030512903803666523,-0.021080752790782087,0.0336409296892633,-0.030033040150028355,0.05836541723071496,-0.017247276669991023,0.0886587097312479,-0.0680423730284534,0.26154845350472045,-1.3625457146637938,3.0,-1.630979655543289,-0.09594996845912536,0.272435403933277
16,-0.08080150536727823,0.011975653154262422,0.025886083265822077,-0.03477307985313445,0.018075202504330833,-0.02076356957873457,0.013792288666324719,-0.021169068512658408,0.01815657362851615,-0.03514976116288679,0.028009212336213878,-0.07641485884704216,0.010296762194807626,-0.08187701254580862,0.07483777273508026,-1.630979655543289,3.0,0.08068637930857177,-1.633903706280645
17,-1.8907504148254282,0.10180784018916116,-0.00404267084291867,-0.051041284087878634,0.02700401433599147,-0.02991036739161047,0.018852314164307216,-0.026676105001522524,0.02099064128634534,-0.03816305305977584,0.051795737747387174,-0.09667279083236618,-0.052419057815618196,-0.03090779149428567,0.03179466729542005,-0.09594996845912536,0.08068637930857177,3.0,-1.3694669271181197
18,0.2678554512997916,-0.08494400417184064,-0.011684978784209724,0.0575689216368086,-0.030040647921549764,0.033579867533194294,-0.021536309877854924,0.0316151996698782,-0.025868638881393555,0.04822477394023324,-0.03988701307766883,0.09431975522413967,0.01229600359395878,0.0918468928061498,-0.09226797986604904,0.272435403933277,-1.633903706280645,-1.3694669271181197,3.0
